2 , 1 , 0.20995000000000003
2 , 2 , 0.21190000000000003
2 , 3 , 0.20229999999999998
2 , 4 , 0.20535000000000003
2 , 5 , 0.21344999999999997
2 , 6 , 0.21275000000000002
2 , 7 , 0.20540000000000003
2 , 8 , 0.2056
2 , 9 , 0.2064
2 , 10 , 0.2073
3 , 1 , 0.20755
3 , 2 , 0.2173
3 , 3 , 0.23110000000000003
3 , 4 , 0.24974999999999997
3 , 5 , 0.2519
3 , 6 , 0.2668
3 , 7 , 0.2746
3 , 8 , 0.27955
3 , 9 , 0.28125
3 , 10 , 0.27475
4 , 1 , 0.21755000000000002
4 , 2 , 0.26145
4 , 3 , 0.3075
4 , 4 , 0.35615
4 , 5 , 0.376
4 , 6 , 0.39
4 , 7 , 0.39244999999999997
4 , 8 , 0.39235
4 , 9 , 0.39380000000000004
4 , 10 , 0.3739
5 , 1 , 0.2168
5 , 2 , 0.30175
5 , 3 , 0.37535
5 , 4 , 0.42745
5 , 5 , 0.45625
5 , 6 , 0.4726
5 , 7 , 0.46755
5 , 8 , 0.46950000000000003
5 , 9 , 0.45385
5 , 10 , 0.4419
6 , 1 , 0.2086
6 , 2 , 0.31705
6 , 3 , 0.41425
6 , 4 , 0.48305
6 , 5 , 0.51305
6 , 6 , 0.5262
6 , 7 , 0.5242
6 , 8 , 0.5076
6 , 9 , 0.5014
6 , 10 , 0.4879
7 , 1 , 0.19495
7 , 2 , 0.31655
7 , 3 , 0.43605
7 , 4 , 0.5167999999999999
7 , 5 , 0.5412
7 , 6 , 0.5507
7 , 7 , 0.5526500000000001
7 , 8 , 0.54115
7 , 9 , 0.5289999999999999
7 , 10 , 0.5052000000000001
8 , 1 , 0.17759999999999998
8 , 2 , 0.3142
8 , 3 , 0.4474
8 , 4 , 0.5327
8 , 5 , 0.5617
8 , 6 , 0.57195
8 , 7 , 0.5681
8 , 8 , 0.5527
8 , 9 , 0.5359499999999999
8 , 10 , 0.52025
9 , 1 , 0.16859999999999997
9 , 2 , 0.30435
9 , 3 , 0.4447
9 , 4 , 0.5355
9 , 5 , 0.56215
9 , 6 , 0.5840000000000001
9 , 7 , 0.5708500000000001
9 , 8 , 0.5604
9 , 9 , 0.5408000000000001
9 , 10 , 0.5257000000000001
10 , 1 , 0.15694999999999998
10 , 2 , 0.28825
10 , 3 , 0.44505
10 , 4 , 0.53325
10 , 5 , 0.5769500000000001
10 , 6 , 0.5875
10 , 7 , 0.5768500000000001
10 , 8 , 0.56795
10 , 9 , 0.5484
10 , 10 , 0.52565
11 , 1 , 0.1482
11 , 2 , 0.28174999999999994
11 , 3 , 0.43505
11 , 4 , 0.5273
11 , 5 , 0.5721
11 , 6 , 0.58125
11 , 7 , 0.57555
11 , 8 , 0.5629500000000001
11 , 9 , 0.5386500000000001
11 , 10 , 0.52865
